0,"新妻八恵です♪よろしくお願いしますね！"

1,"私の演技で、全ての人を幸せにしてみせます……！"

2,"ワールドダイスターになるために、
もっと歌や演技を頑張って
技術を磨いていきたいです！"

3,"柊さんのような、大勢の方を
幸せにする演技をしたいです。
そしてまた、同じ舞台に……！"

4,"寒い時期だからこそ、
心がポカポカに暖まるような演技で
みなさんに喜んで貰いたいです！"

5,"私の力は微々たるものですが、
ボランティアやチャリティーで
少しでも平和に近づけますように。"

6,"苦手な人はいません。
みなさん、とてもやさしくて
大好きです！"

7,"静香さんとここなさんが二人一役で
演じる姿はとても素晴らしいです。
私も負けていられませんね……！"

8,"カトリナさんの故郷は
浅草の何倍も寒いそうですよ……！
一体どれだけ寒いんでしょうか？"

9,"お世話になった先生に頼まれて、
境界で賛美歌を歌うのが恒例です。
冬が来たなぁって実感しますね。"

10,"暦さんが所属する銀河座は
役者全員がストイックに演じていて
とても素晴らしいと思います。"

11,"苦手なものはないですが、
世界に不幸があるのは悲しいです。
幸せな世界を実現したいですね。"

12,"叶羽先輩は、会う度にもっと休めと
私の体調を気遣ってくださいます。
とても優しい方なんです……！"

13,"しぐれちゃんはとても素直な方で、
可愛らしい一面もたくさんある
同世代の役者友達なんですよ。"

14,"私のようなものを
そこまで買っていただいて、恐悦です"

15,"私も、みなさんに負けないように頑張ります……！"

16,"シリウスの演目に不満はないです。
楽しいお話や情熱的なものまで
それぞれに素晴らしさがあります！"

17,"やっぱり、シリウスは最高の劇団ですね……！"

